key,values
"['06', '19', '2012']","['53', '16']"
"['06', '19', '2013']","['90', '15']"
"['06', '19', '2014']","['82', '28']"
"['06', '19', '2015']","['81', '11']"
"['06', '19', '2016']","['118', '18']"
"['06', '19', '2017']","['140', '15']"
"['06', '19', '2018']","['232', '15']"
"['06', '19', '2019']","['113', '9']"
"['06', '19', '2020']","['57', '11']"
"['06', '19', '2021']","['64', '13']"
"['06', '19', '2022']","['81', '9']"
"['06', '19', '2023']","['88', '14']"
"['07', '0', '2008']","['20', '4']"
"['07', '0', '2009']","['17', '4']"
"['07', '0', '2010']","['20', '6']"
"['07', '0', '2011']","['20', '2']"
"['07', '0', '2012']","['15', '3']"
"['07', '0', '2013']","['29', '4']"
"['07', '0', '2014']","['42', '2']"
"['07', '0', '2015']","['31', '5']"
"['07', '0', '2016']","['45', '2']"
"['07', '0', '2017']","['24', '1']"
"['07', '0', '2018']","['25', '0']"
"['07', '0', '2019']","['26', '2']"
"['07', '0', '2020']","['12', '1']"
"['07', '0', '2021']","['16', '2']"
"['07', '0', '2022']","['13', '3']"
"['07', '0', '2023']","['17', '4']"
"['07', '1', '2008']","['52', '7']"
"['07', '1', '2009']","['40', '7']"
"['07', '1', '2010']","['53', '7']"
"['07', '1', '2011']","['32', '6']"
"['07', '1', '2012']","['54', '7']"
"['07', '1', '2013']","['72', '10']"
"['07', '1', '2014']","['76', '6']"
"['07', '1', '2015']","['69', '7']"
"['07', '1', '2016']","['84', '8']"
"['07', '1', '2017']","['102', '3']"
"['07', '1', '2018']","['70', '6']"
"['07', '1', '2019']","['55', '8']"
"['07', '1', '2020']","['35', '11']"
"['07', '1', '2021']","['31', '8']"
"['07', '1', '2022']","['35', '9']"
"['07', '1', '2023']","['38', '21']"
"['07', '2', '2008']","['46', '11']"
"['07', '2', '2009']","['46', '12']"
"['07', '2', '2010']","['23', '6']"
"['07', '2', '2011']","['38', '10']"
"['07', '2', '2012']","['50', '10']"
"['07', '2', '2013']","['67', '10']"
"['07', '2', '2014']","['74', '8']"
"['07', '2', '2015']","['69', '10']"
"['07', '2', '2016']","['63', '8']"
"['07', '2', '2017']","['65', '9']"
"['07', '2', '2018']","['38', '13']"
"['07', '2', '2019']","['43', '11']"
"['07', '2', '2020']","['40', '15']"
"['07', '2', '2021']","['27', '7']"
"['07', '2', '2022']","['37', '15']"
"['07', '2', '2023']","['29', '27']"
"['07', '3', '2008']","['47', '7']"
"['07', '3', '2009']","['51', '9']"
"['07', '3', '2010']","['28', '12']"
"['07', '3', '2011']","['33', '7']"
"['07', '3', '2012']","['60', '7']"
"['07', '3', '2013']","['64', '12']"
"['07', '3', '2014']","['73', '11']"
"['07', '3', '2015']","['79', '9']"
"['07', '3', '2016']","['76', '6']"
"['07', '3', '2017']","['71', '15']"
"['07', '3', '2018']","['66', '11']"
"['07', '3', '2019']","['33', '12']"
"['07', '3', '2020']","['34', '11']"
"['07', '3', '2021']","['29', '28']"
"['07', '3', '2022']","['29', '26']"
"['07', '3', '2023']","['28', '34']"
"['07', '4', '2008']","['29', '5']"
"['07', '4', '2009']","['38', '11']"
"['07', '4', '2010']","['25', '10']"
"['07', '4', '2011']","['40', '8']"
"['07', '4', '2012']","['40', '12']"
"['07', '4', '2013']","['77', '8']"
"['07', '4', '2014']","['65', '9']"
"['07', '4', '2015']","['72', '14']"
"['07', '4', '2016']","['82', '10']"
"['07', '4', '2017']","['75', '9']"
"['07', '4', '2018']","['65', '13']"
"['07', '4', '2019']","['23', '13']"
"['07', '4', '2020']","['22', '15']"
"['07', '4', '2021']","['19', '18']"
"['07', '4', '2022']","['35', '16']"
"['07', '4', '2023']","['33', '38']"
"['07', '5', '2008']","['38', '7']"
"['07', '5', '2009']","['33', '12']"
"['07', '5', '2010']","['27', '13']"
"['07', '5', '2011']","['39', '12']"
"['07', '5', '2012']","['38', '6']"
"['07', '5', '2013']","['67', '12']"
"['07', '5', '2014']","['72', '11']"
"['07', '5', '2015']","['81', '12']"
"['07', '5', '2016']","['77', '10']"
"['07', '5', '2017']","['91', '11']"
"['07', '5', '2018']","['62', '8']"
"['07', '5', '2019']","['30', '15']"
"['07', '5', '2020']","['36', '20']"
"['07', '5', '2021']","['23', '12']"
"['07', '5', '2022']","['31', '21']"
"['07', '5', '2023']","['23', '41']"
"['07', '6', '2008']","['39', '7']"
"['07', '6', '2009']","['30', '9']"
"['07', '6', '2010']","['20', '11']"
"['07', '6', '2011']","['40', '3']"
"['07', '6', '2012']","['38', '13']"
"['07', '6', '2013']","['71', '14']"
"['07', '6', '2014']","['73', '7']"
"['07', '6', '2015']","['66', '12']"
"['07', '6', '2016']","['60', '4']"
"['07', '6', '2017']","['83', '7']"
"['07', '6', '2018']","['47', '15']"
"['07', '6', '2019']","['37', '13']"
"['07', '6', '2020']","['24', '22']"
"['07', '6', '2021']","['38', '22']"
"['07', '6', '2022']","['26', '35']"
"['07', '6', '2023']","['32', '43']"
"['07', '7', '2008']","['27', '11']"
"['07', '7', '2009']","['39', '7']"
"['07', '7', '2010']","['30', '6']"
"['07', '7', '2011']","['23', '9']"
"['07', '7', '2012']","['42', '10']"
"['07', '7', '2013']","['86', '12']"
"['07', '7', '2014']","['65', '11']"
"['07', '7', '2015']","['72', '9']"
"['07', '7', '2016']","['79', '11']"
"['07', '7', '2017']","['75', '8']"
"['07', '7', '2018']","['53', '10']"
"['07', '7', '2019']","['34', '10']"
"['07', '7', '2020']","['11', '13']"
"['07', '7', '2021']","['22', '16']"
"['07', '7', '2022']","['32', '30']"
"['07', '7', '2023']","['24', '42']"
"['07', '8', '2008']","['38', '4']"
"['07', '8', '2009']","['33', '4']"
"['07', '8', '2010']","['23', '8']"
"['07', '8', '2011']","['37', '6']"
"['07', '8', '2012']","['28', '9']"
"['07', '8', '2013']","['80', '9']"
"['07', '8', '2014']","['77', '7']"
"['07', '8', '2015']","['73', '10']"
"['07', '8', '2016']","['72', '8']"
"['07', '8', '2017']","['80', '7']"
"['07', '8', '2018']","['50', '10']"
"['07', '8', '2019']","['31', '8']"
"['07', '8', '2020']","['26', '12']"
"['07', '8', '2021']","['23', '18']"
"['07', '8', '2022']","['43', '18']"
"['07', '8', '2023']","['29', '34']"
"['07', '9', '2008']","['45', '7']"
"['07', '9', '2009']","['32', '7']"
"['07', '9', '2010']","['22', '9']"
"['07', '9', '2011']","['26', '7']"
"['07', '9', '2012']","['43', '10']"
"['07', '9', '2013']","['72', '12']"
"['07', '9', '2014']","['55', '12']"
"['07', '9', '2015']","['53', '11']"
"['07', '9', '2016']","['65', '3']"
"['07', '9', '2017']","['76', '9']"
"['07', '9', '2018']","['47', '6']"
"['07', '9', '2019']","['31', '8']"
"['07', '9', '2020']","['24', '12']"
"['07', '9', '2021']","['18', '15']"
"['07', '9', '2022']","['29', '25']"
"['07', '9', '2023']","['25', '42']"
"['07', '10', '2008']","['44', '3']"
"['07', '10', '2009']","['35', '5']"
"['07', '10', '2010']","['28', '4']"
"['07', '10', '2011']","['26', '4']"
"['07', '10', '2012']","['41', '11']"
"['07', '10', '2013']","['70', '9']"
"['07', '10', '2014']","['72', '7']"
"['07', '10', '2015']","['69', '4']"
"['07', '10', '2016']","['63', '6']"
"['07', '10', '2017']","['58', '8']"
"['07', '10', '2018']","['54', '8']"
"['07', '10', '2019']","['35', '11']"
"['07', '10', '2020']","['24', '12']"
"['07', '10', '2021']","['20', '18']"
"['07', '10', '2022']","['24', '31']"
"['07', '10', '2023']","['27', '40']"
"['07', '11', '2008']","['37', '4']"
"['07', '11', '2009']","['34', '4']"
"['07', '11', '2010']","['22', '7']"
"['07', '11', '2011']","['29', '8']"
"['07', '11', '2012']","['28', '9']"
"['07', '11', '2013']","['64', '4']"
"['07', '11', '2014']","['56', '5']"
"['07', '11', '2015']","['65', '5']"
"['07', '11', '2016']","['60', '5']"
"['07', '11', '2017']","['66', '3']"
"['07', '11', '2018']","['47', '7']"
"['07', '11', '2019']","['33', '8']"
"['07', '11', '2020']","['28', '14']"
"['07', '11', '2021']","['34', '14']"
"['07', '11', '2022']","['23', '17']"
"['07', '11', '2023']","['27', '37']"
"['07', '12', '2008']","['44', '4']"
"['07', '12', '2009']","['37', '5']"
"['07', '12', '2010']","['19', '4']"
"['07', '12', '2011']","['25', '4']"
"['07', '12', '2012']","['38', '6']"
"['07', '12', '2013']","['54', '8']"
"['07', '12', '2014']","['44', '7']"
"['07', '12', '2015']","['60', '5']"
"['07', '12', '2016']","['65', '2']"
"['07', '12', '2017']","['59', '5']"
"['07', '12', '2018']","['37', '7']"
"['07', '12', '2019']","['30', '3']"
"['07', '12', '2020']","['17', '4']"
"['07', '12', '2021']","['22', '12']"
"['07', '12', '2022']","['25', '19']"
"['07', '12', '2023']","['24', '32']"
"['07', '13', '2008']","['29', '6']"
"['07', '13', '2009']","['35', '3']"
"['07', '13', '2010']","['23', '7']"
"['07', '13', '2011']","['31', '5']"
"['07', '13', '2012']","['34', '5']"
"['07', '13', '2013']","['71', '4']"
"['07', '13', '2014']","['48', '7']"
"['07', '13', '2015']","['47', '5']"
"['07', '13', '2016']","['66', '3']"
"['07', '13', '2017']","['52', '5']"
"['07', '13', '2018']","['53', '5']"
"['07', '13', '2019']","['25', '3']"
"['07', '13', '2020']","['18', '8']"
"['07', '13', '2021']","['27', '9']"
"['07', '13', '2022']","['25', '18']"
"['07', '13', '2023']","['16', '30']"
"['07', '14', '2008']","['33', '1']"
"['07', '14', '2009']","['41', '4']"
"['07', '14', '2010']","['28', '4']"
"['07', '14', '2011']","['30', '7']"
"['07', '14', '2012']","['35', '4']"
"['07', '14', '2013']","['56', '8']"
"['07', '14', '2014']","['53', '5']"
"['07', '14', '2015']","['45', '3']"
"['07', '14', '2016']","['77', '0']"
"['07', '14', '2017']","['66', '4']"
"['07', '14', '2018']","['37', '7']"
"['07', '14', '2019']","['30', '4']"
"['07', '14', '2020']","['15', '10']"
"['07', '14', '2021']","['17', '12']"
"['07', '14', '2022']","['22', '12']"
"['07', '14', '2023']","['13', '34']"
"['07', '15', '2008']","['41', '5']"
"['07', '15', '2009']","['34', '6']"
"['07', '15', '2010']","['29', '5']"
"['07', '15', '2011']","['34', '5']"
"['07', '15', '2012']","['30', '6']"
"['07', '15', '2013']","['58', '5']"
"['07', '15', '2014']","['62', '6']"
"['07', '15', '2015']","['55', '5']"
"['07', '15', '2016']","['71', '2']"
"['07', '15', '2017']","['59', '3']"
"['07', '15', '2018']","['46', '3']"
"['07', '15', '2019']","['28', '3']"
"['07', '15', '2020']","['19', '8']"
"['07', '15', '2021']","['26', '9']"
"['07', '15', '2022']","['16', '14']"
"['07', '15', '2023']","['27', '18']"
"['07', '16', '2008']","['41', '1']"
"['07', '16', '2009']","['72', '3']"
"['07', '16', '2010']","['29', '4']"
"['07', '16', '2011']","['55', '5']"
"['07', '16', '2012']","['39', '4']"
"['07', '16', '2013']","['64', '3']"
"['07', '16', '2014']","['69', '6']"
"['07', '16', '2015']","['68', '9']"
"['07', '16', '2016']","['88', '3']"
"['07', '16', '2017']","['96', '3']"
"['07', '16', '2018']","['38', '5']"
"['07', '16', '2019']","['36', '4']"
"['07', '16', '2020']","['15', '4']"
"['07', '16', '2021']","['17', '5']"
"['07', '16', '2022']","['22', '15']"
"['07', '16', '2023']","['22', '19']"
"['07', '17', '2008']","['45', '5']"
"['07', '17', '2009']","['54', '6']"
"['07', '17', '2010']","['35', '3']"
"['07', '17', '2011']","['44', '4']"
"['07', '17', '2012']","['41', '4']"
"['07', '17', '2013']","['82', '4']"
"['07', '17', '2014']","['74', '3']"
"['07', '17', '2015']","['67', '2']"
"['07', '17', '2016']","['104', '2']"
"['07', '17', '2017']","['92', '2']"
"['07', '17', '2018']","['40', '3']"
"['07', '17', '2019']","['36', '9']"
"['07', '17', '2020']","['11', '8']"
"['07', '17', '2021']","['16', '5']"
"['07', '17', '2022']","['13', '6']"
"['07', '17', '2023']","['20', '19']"
"['07', '18', '2008']","['35', '7']"
"['07', '18', '2009']","['38', '4']"
"['07', '18', '2010']","['32', '2']"
"['07', '18', '2011']","['27', '6']"
"['07', '18', '2012']","['27', '1']"
"['07', '18', '2013']","['60', '4']"
"['07', '18', '2014']","['54', '0']"
"['07', '18', '2015']","['62', '5']"
"['07', '18', '2016']","['97', '5']"
"['07', '18', '2017']","['127', '6']"
"['07', '18', '2018']","['35', '3']"
"['07', '18', '2019']","['42', '8']"
"['07', '18', '2020']","['14', '4']"
"['07', '18', '2021']","['20', '2']"
"['07', '18', '2022']","['28', '7']"
"['07', '18', '2023']","['15', '11']"
"['07', '19', '2008']","['29', '10']"
"['07', '19', '2009']","['39', '8']"
"['07', '19', '2010']","['38', '20']"
"['07', '19', '2011']","['57', '12']"
"['07', '19', '2012']","['41', '15']"
"['07', '19', '2013']","['43', '11']"
"['07', '19', '2014']","['76', '7']"
"['07', '19', '2015']","['53', '7']"
"['07', '19', '2016']","['78', '3']"
"['07', '19', '2017']","['60', '8']"
"['07', '19', '2018']","['85', '6']"
"['07', '19', '2019']","['33', '8']"
"['07', '19', '2020']","['21', '5']"
"['07', '19', '2021']","['27', '11']"
"['07', '19', '2022']","['36', '9']"
"['07', '19', '2023']","['32', '16']"
"['08', '0', '2008']","['17', '5']"
"['08', '0', '2009']","['18', '3']"
"['08', '0', '2010']","['15', '3']"
"['08', '0', '2011']","['22', '6']"
"['08', '0', '2012']","['29', '2']"
"['08', '0', '2013']","['18', '4']"
"['08', '0', '2014']","['37', '1']"
"['08', '0', '2015']","['39', '2']"
"['08', '0', '2016']","['85', '1']"
"['08', '0', '2017']","['38', '0']"
"['08', '0', '2018']","['23', '2']"
"['08', '0', '2019']","['15', '0']"
"['08', '0', '2020']","['16', '0']"
"['08', '0', '2021']","['9', '3']"
"['08', '0', '2022']","['23', '3']"
"['08', '0', '2023']","['15', '3']"
"['08', '1', '2008']","['18', '6']"
"['08', '1', '2009']","['36', '5']"
"['08', '1', '2010']","['28', '13']"
"['08', '1', '2011']","['31', '10']"
"['08', '1', '2012']","['48', '4']"
"['08', '1', '2013']","['49', '11']"
"['08', '1', '2014']","['65', '8']"
"['08', '1', '2015']","['73', '7']"
"['08', '1', '2016']","['138', '3']"
"['08', '1', '2017']","['108', '2']"
"['08', '1', '2018']","['38', '8']"
"['08', '1', '2019']","['47', '7']"
"['08', '1', '2020']","['26', '3']"
"['08', '1', '2021']","['20', '4']"
"['08', '1', '2022']","['33', '13']"
"['08', '1', '2023']","['28', '13']"
"['08', '2', '2008']","['19', '9']"
"['08', '2', '2009']","['34', '8']"
"['08', '2', '2010']","['25', '3']"
"['08', '2', '2011']","['35', '6']"
"['08', '2', '2012']","['49', '4']"
"['08', '2', '2013']","['60', '8']"
"['08', '2', '2014']","['72', '7']"
"['08', '2', '2015']","['61', '7']"
"['08', '2', '2016']","['125', '2']"
"['08', '2', '2017']","['60', '6']"
"['08', '2', '2018']","['30', '5']"
"['08', '2', '2019']","['27', '7']"
"['08', '2', '2020']","['18', '6']"
"['08', '2', '2021']","['20', '7']"
"['08', '2', '2022']","['28', '14']"
"['08', '2', '2023']","['19', '20']"
"['08', '3', '2008']","['26', '13']"
"['08', '3', '2009']","['32', '10']"
"['08', '3', '2010']","['31', '8']"
"['08', '3', '2011']","['40', '11']"
"['08', '3', '2012']","['40', '9']"
"['08', '3', '2013']","['68', '10']"
"['08', '3', '2014']","['73', '12']"
"['08', '3', '2015']","['66', '16']"
"['08', '3', '2016']","['121', '11']"
"['08', '3', '2017']","['71', '10']"
"['08', '3', '2018']","['44', '4']"
"['08', '3', '2019']","['33', '5']"
"['08', '3', '2020']","['15', '9']"
"['08', '3', '2021']","['20', '7']"
"['08', '3', '2022']","['33', '13']"
"['08', '3', '2023']","['16', '29']"
"['08', '4', '2008']","['26', '5']"
"['08', '4', '2009']","['23', '2']"
"['08', '4', '2010']","['28', '6']"
"['08', '4', '2011']","['36', '10']"
"['08', '4', '2012']","['41', '9']"
"['08', '4', '2013']","['63', '8']"
"['08', '4', '2014']","['73', '11']"
"['08', '4', '2015']","['74', '8']"
"['08', '4', '2016']","['130', '4']"
"['08', '4', '2017']","['71', '5']"
"['08', '4', '2018']","['45', '8']"
"['08', '4', '2019']","['40', '8']"
"['08', '4', '2020']","['27', '9']"
"['08', '4', '2021']","['19', '7']"
"['08', '4', '2022']","['29', '16']"
"['08', '4', '2023']","['21', '30']"
"['08', '5', '2008']","['28', '6']"
"['08', '5', '2009']","['38', '11']"
"['08', '5', '2010']","['29', '9']"
"['08', '5', '2011']","['26', '11']"
"['08', '5', '2012']","['34', '6']"
"['08', '5', '2013']","['48', '11']"
"['08', '5', '2014']","['75', '11']"
"['08', '5', '2015']","['98', '11']"
"['08', '5', '2016']","['133', '7']"
"['08', '5', '2017']","['79', '5']"
"['08', '5', '2018']","['59', '3']"
"['08', '5', '2019']","['37', '7']"
"['08', '5', '2020']","['13', '14']"
"['08', '5', '2021']","['21', '11']"
"['08', '5', '2022']","['34', '18']"
"['08', '5', '2023']","['28', '27']"
"['08', '6', '2008']","['24', '8']"
"['08', '6', '2009']","['28', '3']"
"['08', '6', '2010']","['28', '8']"
"['08', '6', '2011']","['39', '7']"
"['08', '6', '2012']","['48', '6']"
"['08', '6', '2013']","['63', '5']"
"['08', '6', '2014']","['63', '10']"
"['08', '6', '2015']","['64', '14']"
"['08', '6', '2016']","['149', '9']"
"['08', '6', '2017']","['90', '6']"
"['08', '6', '2018']","['62', '7']"
"['08', '6', '2019']","['27', '7']"
"['08', '6', '2020']","['28', '7']"
"['08', '6', '2021']","['24', '13']"
"['08', '6', '2022']","['31', '27']"
"['08', '6', '2023']","['9', '21']"
"['08', '7', '2008']","['23', '4']"
"['08', '7', '2009']","['35', '4']"
"['08', '7', '2010']","['31', '10']"
"['08', '7', '2011']","['30', '9']"
"['08', '7', '2012']","['30', '3']"
"['08', '7', '2013']","['62', '7']"
"['08', '7', '2014']","['62', '5']"
"['08', '7', '2015']","['80', '6']"
"['08', '7', '2016']","['145', '11']"
"['08', '7', '2017']","['83', '8']"
"['08', '7', '2018']","['56', '9']"
"['08', '7', '2019']","['44', '12']"
"['08', '7', '2020']","['20', '8']"
"['08', '7', '2021']","['16', '13']"
"['08', '7', '2022']","['20', '19']"
"['08', '7', '2023']","['20', '24']"
"['08', '8', '2008']","['17', '8']"
"['08', '8', '2009']","['40', '3']"
"['08', '8', '2010']","['25', '8']"
"['08', '8', '2011']","['26', '1']"
"['08', '8', '2012']","['35', '6']"
"['08', '8', '2013']","['50', '2']"
"['08', '8', '2014']","['52', '7']"
"['08', '8', '2015']","['66', '7']"
"['08', '8', '2016']","['147', '8']"
"['08', '8', '2017']","['74', '7']"
"['08', '8', '2018']","['52', '5']"
"['08', '8', '2019']","['26', '7']"
"['08', '8', '2020']","['17', '6']"
"['08', '8', '2021']","['20', '11']"
"['08', '8', '2022']","['20', '12']"
"['08', '8', '2023']","['15', '29']"
"['08', '9', '2008']","['23', '3']"
"['08', '9', '2009']","['28', '6']"
"['08', '9', '2010']","['17', '6']"
"['08', '9', '2011']","['26', '9']"
"['08', '9', '2012']","['24', '2']"
"['08', '9', '2013']","['45', '5']"
"['08', '9', '2014']","['50', '5']"
"['08', '9', '2015']","['52', '8']"
"['08', '9', '2016']","['115', '10']"
"['08', '9', '2017']","['82', '4']"
"['08', '9', '2018']","['55', '3']"
"['08', '9', '2019']","['36', '5']"
"['08', '9', '2020']","['20', '6']"
"['08', '9', '2021']","['22', '8']"
"['08', '9', '2022']","['24', '20']"
"['08', '9', '2023']","['20', '21']"
"['08', '10', '2008']","['30', '5']"
"['08', '10', '2009']","['31', '5']"
"['08', '10', '2010']","['23', '2']"
"['08', '10', '2011']","['18', '2']"
"['08', '10', '2012']","['27', '3']"
"['08', '10', '2013']","['57', '1']"
"['08', '10', '2014']","['59', '6']"
"['08', '10', '2015']","['73', '6']"
"['08', '10', '2016']","['135', '6']"
"['08', '10', '2017']","['82', '2']"
"['08', '10', '2018']","['56', '5']"
"['08', '10', '2019']","['30', '7']"
"['08', '10', '2020']","['20', '9']"
"['08', '10', '2021']","['15', '4']"
"['08', '10', '2022']","['25', '15']"
"['08', '10', '2023']","['15', '23']"
"['08', '11', '2008']","['23', '7']"
"['08', '11', '2009']","['26', '3']"
"['08', '11', '2010']","['29', '5']"
"['08', '11', '2011']","['30', '6']"
"['08', '11', '2012']","['31', '8']"
"['08', '11', '2013']","['51', '5']"
"['08', '11', '2014']","['48', '6']"
"['08', '11', '2015']","['60', '3']"
"['08', '11', '2016']","['123', '7']"
"['08', '11', '2017']","['71', '2']"
"['08', '11', '2018']","['48', '5']"
"['08', '11', '2019']","['26', '1']"
"['08', '11', '2020']","['18', '3']"
"['08', '11', '2021']","['21', '5']"
"['08', '11', '2022']","['20', '18']"
"['08', '11', '2023']","['14', '19']"
"['08', '12', '2008']","['24', '6']"
"['08', '12', '2009']","['26', '4']"
"['08', '12', '2010']","['18', '4']"
"['08', '12', '2011']","['21', '7']"
"['08', '12', '2012']","['31', '5']"
"['08', '12', '2013']","['48', '5']"
"['08', '12', '2014']","['42', '0']"
"['08', '12', '2015']","['69', '6']"
"['08', '12', '2016']","['115', '4']"
"['08', '12', '2017']","['79', '7']"
"['08', '12', '2018']","['48', '3']"
"['08', '12', '2019']","['28', '4']"
"['08', '12', '2020']","['14', '6']"
"['08', '12', '2021']","['20', '10']"
"['08', '12', '2022']","['32', '14']"
"['08', '12', '2023']","['15', '24']"
"['08', '13', '2008']","['27', '6']"
"['08', '13', '2009']","['28', '5']"
"['08', '13', '2010']","['27', '3']"
"['08', '13', '2011']","['30', '3']"
"['08', '13', '2012']","['33', '5']"
"['08', '13', '2013']","['40', '4']"
"['08', '13', '2014']","['57', '3']"
"['08', '13', '2015']","['45', '2']"
"['08', '13', '2016']","['105', '4']"
"['08', '13', '2017']","['70', '5']"
"['08', '13', '2018']","['48', '4']"
"['08', '13', '2019']","['25', '9']"
"['08', '13', '2020']","['17', '5']"
"['08', '13', '2021']","['18', '4']"
"['08', '13', '2022']","['15', '13']"
"['08', '13', '2023']","['19', '19']"
"['08', '14', '2008']","['12', '3']"
"['08', '14', '2009']","['21', '2']"
"['08', '14', '2010']","['22', '3']"
"['08', '14', '2011']","['22', '5']"
"['08', '14', '2012']","['15', '6']"
"['08', '14', '2013']","['37', '2']"
"['08', '14', '2014']","['48', '4']"
"['08', '14', '2015']","['63', '3']"
"['08', '14', '2016']","['104', '4']"
"['08', '14', '2017']","['81', '3']"
"['08', '14', '2018']","['51', '5']"
"['08', '14', '2019']","['28', '1']"
"['08', '14', '2020']","['17', '7']"
"['08', '14', '2021']","['18', '3']"
"['08', '14', '2022']","['23', '12']"
"['08', '14', '2023']","['15', '23']"
"['08', '15', '2008']","['20', '4']"
"['08', '15', '2009']","['28', '3']"
"['08', '15', '2010']","['17', '3']"
"['08', '15', '2011']","['36', '2']"
"['08', '15', '2012']","['37', '4']"
"['08', '15', '2013']","['45', '3']"
"['08', '15', '2014']","['48', '1']"
"['08', '15', '2015']","['70', '5']"
"['08', '15', '2016']","['121', '6']"
"['08', '15', '2017']","['66', '6']"
"['08', '15', '2018']","['34', '8']"
"['08', '15', '2019']","['31', '6']"
"['08', '15', '2020']","['12', '4']"
"['08', '15', '2021']","['14', '9']"
"['08', '15', '2022']","['22', '11']"
"['08', '15', '2023']","['20', '15']"
"['08', '16', '2008']","['24', '8']"
"['08', '16', '2009']","['49', '3']"
"['08', '16', '2010']","['32', '3']"
"['08', '16', '2011']","['41', '5']"
"['08', '16', '2012']","['52', '5']"
"['08', '16', '2013']","['47', '7']"
"['08', '16', '2014']","['58', '2']"
"['08', '16', '2015']","['84', '3']"
"['08', '16', '2016']","['150', '7']"
"['08', '16', '2017']","['87', '3']"
"['08', '16', '2018']","['52', '4']"
"['08', '16', '2019']","['30', '5']"
"['08', '16', '2020']","['23', '3']"
"['08', '16', '2021']","['17', '2']"
"['08', '16', '2022']","['28', '13']"
"['08', '16', '2023']","['8', '13']"
"['08', '17', '2008']","['22', '7']"
"['08', '17', '2009']","['44', '2']"
"['08', '17', '2010']","['25', '2']"
"['08', '17', '2011']","['39', '2']"
"['08', '17', '2012']","['32', '3']"
"['08', '17', '2013']","['53', '2']"
"['08', '17', '2014']","['65', '4']"
"['08', '17', '2015']","['84', '3']"
"['08', '17', '2016']","['150', '3']"
"['08', '17', '2017']","['110', '4']"
"['08', '17', '2018']","['34', '4']"
"['08', '17', '2019']","['29', '4']"
"['08', '17', '2020']","['12', '1']"
"['08', '17', '2021']","['15', '4']"
"['08', '17', '2022']","['18', '8']"
"['08', '17', '2023']","['15', '9']"
"['08', '18', '2008']","['29', '4']"
"['08', '18', '2009']","['29', '2']"
"['08', '18', '2010']","['21', '3']"
"['08', '18', '2011']","['31', '2']"
"['08', '18', '2012']","['23', '2']"
"['08', '18', '2013']","['43', '2']"
"['08', '18', '2014']","['57', '4']"
"['08', '18', '2015']","['73', '4']"
"['08', '18', '2016']","['165', '2']"
"['08', '18', '2017']","['127', '3']"
"['08', '18', '2018']","['45', '2']"
"['08', '18', '2019']","['28', '5']"
"['08', '18', '2020']","['16', '3']"
"['08', '18', '2021']","['17', '3']"
"['08', '18', '2022']","['25', '4']"
"['08', '18', '2023']","['18', '12']"
"['08', '19', '2008']","['26', '19']"
"['08', '19', '2009']","['32', '18']"
"['08', '19', '2010']","['28', '19']"
"['08', '19', '2011']","['28', '25']"
"['08', '19', '2012']","['31', '20']"
"['08', '19', '2013']","['40', '14']"
"['08', '19', '2014']","['56', '20']"
"['08', '19', '2015']","['56', '5']"
"['08', '19', '2016']","['117', '15']"
"['08', '19', '2017']","['53', '2']"
"['08', '19', '2018']","['105', '10']"
"['08', '19', '2019']","['37', '5']"
"['08', '19', '2020']","['21', '5']"
"['08', '19', '2021']","['25', '5']"
"['08', '19', '2022']","['22', '5']"
"['08', '19', '2023']","['24', '7']"
"['09', '0', '2008']","['3', '0']"
"['09', '0', '2009']","['2', '0']"
"['09', '0', '2010']","['0', '0']"
"['09', '0', '2011']","['1', '1']"
"['09', '0', '2012']","['2', '2']"
"['09', '0', '2013']","['2', '0']"
"['09', '0', '2014']","['5', '1']"
"['09', '0', '2015']","['4', '0']"
"['09', '0', '2016']","['5', '0']"
"['09', '0', '2017']","['2', '0']"
"['09', '0', '2018']","['3', '1']"
"['09', '0', '2019']","['4', '0']"
"['09', '0', '2020']","['0', '0']"
"['09', '0', '2021']","['1', '0']"
"['09', '0', '2022']","['2', '0']"
"['09', '0', '2023']","['3', '0']"
"['09', '1', '2008']","['4', '2']"
"['09', '1', '2009']","['4', '2']"
"['09', '1', '2010']","['8', '0']"
"['09', '1', '2011']","['3', '3']"
"['09', '1', '2012']","['1', '0']"
"['09', '1', '2013']","['8', '5']"
"['09', '1', '2014']","['4', '4']"
"['09', '1', '2015']","['6', '2']"
"['09', '1', '2016']","['6', '1']"
"['09', '1', '2017']","['11', '0']"
"['09', '1', '2018']","['8', '1']"
"['09', '1', '2019']","['6', '1']"
"['09', '1', '2020']","['3', '0']"
"['09', '1', '2021']","['9', '1']"
"['09', '1', '2022']","['6', '1']"
"['09', '1', '2023']","['0', '0']"
"['09', '2', '2008']","['4', '3']"
"['09', '2', '2009']","['5', '0']"
"['09', '2', '2010']","['4', '3']"
"['09', '2', '2011']","['2', '1']"
"['09', '2', '2012']","['2', '1']"
"['09', '2', '2013']","['1', '3']"
"['09', '2', '2014']","['4', '3']"
"['09', '2', '2015']","['5', '2']"
"['09', '2', '2016']","['11', '0']"
"['09', '2', '2017']","['6', '2']"
"['09', '2', '2018']","['7', '1']"
"['09', '2', '2019']","['3', '0']"
"['09', '2', '2020']","['3', '0']"
"['09', '2', '2021']","['6', '0']"
"['09', '2', '2022']","['8', '3']"
